ticker,company,category,market_cap_usd_b,mcap_date,ai_tech,ai_genuineness,lead_asset,lead_phase,oncology_assets,fda_status,next_key_catalyst,catalyst_timing,pharma_partners,cash_usd_m,cash_date,annual_burn_usd_m,runway,dilution_risk,insider_institutional,key_sources,last_updated
MRNA,Moderna,AI+Oncology,57,2026-09-03,"ML新抗原排序算法(INT, 每患者≤34个)","中: AI用于个体化设计, 非新分子发现",intismeran autogene (mRNA-4157/V940)+Keytruda,"Phase 3 阳性(INTerpath-001, NCT05933577)",intismeran 9项P2/3(黑色素瘤/NSCLC NCT06077760/膀胱/RCC); mRNA-4359 P1/2,BTD(2023-02); EMA PRIME; 尚未提交BLA,INTerpath-001 完整数据 ESMO LBA1; 监管提交,2026-10-24; 提交时间未披露,Merck(50/50); Blackstone; Ares贷款,6900,2026-06-30,~2000(不含Arbutus和解),2028年现金盈亏平衡目标,低-中(Ares $1.5B贷款; 股价+5x可能择机融资),总裁Hoge 2026-09-15卖出$5.9M; BlackRock Q2增持(未核实),merck.com 2026-08-19; SEC 8-K Q2 2026; accessnewswire ESMO LBA,2026-09-23
BNTX,BioNTech,AI+Oncology,24.1,2026-09,"InstaDeep(Kyber GPU集群, 蛋白/DNA基础模型)",低-中: 核心肿瘤资产为外部引进,"pumitamig (BNT327, PD-L1xVEGF)","Phase 3 (ROSETTA系列, NCT07361497/NCT07361510/NCT07173751)",BNT323 HER2 ADC P3达PFS(中国BLA受理); autogene cevumeran CRC试验2026-08-28终止(OS不利),美国肿瘤BLA未获批,ESMO pumitamig数据; DYNASTY-Breast02中期,2026-10; 2026内,BMS($1.5B首付+$2B+$7.6B里程碑); Genentech; DualityBio,€16630,2026-06-30,~€1000-1500(估算),多年,极低($1B回购进行中),创始人Sahin/Türeci离任; 新CEO Oelkers 2027-02前上任,SEC 6-K 2026-08-28; BNTX Q2 PR 2026-08-04; statnews 2026-08-03,2026-09-23
RLAY,Relay Therapeutics,AI Drug Discovery,4.2,2026-09-18,Dynamo(分子动力学+结构生物学+ML),高: zovegalisib为平台直接产物,zovegalisib (RLY-2608)+氟维司群,"Phase 3 ReDiscover-2 (NCT06982521, vs capivasertib)",zovegalisib HR+/HER2- mBC; 一线三联(+atirmociclib); RLY-8161 NRAS P1/2,BTD(2026-02-03),ReDiscover-2入组更新; 一线P3启动,2026年底; 2027初; P3 topline未披露,Genentech(SHP2); Elevar; Pfizer(供药),910.9,2026-06-30,~300(2025 OCF 235.5),至2029,中(2026-05 $316M增发@$12 + ATM; 近期再融资需求低),CEO Patel 10b5-1减持; Point72 Q1清仓; Casdin增持,SEC 10-Q 2026-06-30; ir.relaytx.com BTD; ESMO TAT 2026-03-16,2026-09-23
SDGR,Schrödinger,AI Drug Discovery,2.19,2026-09-18,物理模拟(FEP)+ML; Bunsen AI co-scientist,高: zasocitinib/Ajax/SGR-1505均出自平台,SGR-1505 (MALT1),Phase 1 (NCT05544019),SGR-1505 B细胞瘤; SGR-3515 Wee1/Myt1 P1 (NCT06463340),SGR-1505 Fast Track(WM); zasocitinib(Takeda) NDA优先审评2026-09-14,SGR-1505/3515对外授权; zasocitinib FDA决定(间接),未定; ~1H27(推算),Novartis($150M首付/$2.27B); Lilly; BMS(Bunsen); Otsuka,418.8,2026-06-30,低(软件收入覆盖大部分),"未披露, 充足",低,CEO Farid 10b5-1减持; UBS/Tudor增持,SEC 10-Q 2026-06-30; takeda.com 2026-09-14; clinicaltrials.gov,2026-09-23
RXRX,Recursion,AI Drug Discovery,2.13,2026-09-22,Recursion OS 表型组学+CRISPR图谱+Exscientia化学设计,中: 主力REC-4881为Takeda老药再定位,REC-4881 (MEK1/2) FAP,Phase 1b/2 TUPELO (NCT05552755),REC-617 CDK7 (NCT05985655); REC-1245 RBM39 (NCT06678659); REC-3565 MALT1; REC-4539 LSD1 SCLC,REC-4881 Orphan+Fast Track,REC-4881注册路径更新; REC-1245剂量爬坡; REC-617联用数据,2H26; 2H26; 1H27,Sanofi; Roche/Genentech; Bayer; Merck KGaA(累计>$500M),556.8,2026-06-30,~372(2025 OCF),至2028初,"高($300M ATM未动用, 股价~$4)",董事长Gibson持续10b5-1减持,SEC 8-K Q2 2026-08-05; SEC 10-Q; clinicaltrials.gov,2026-09-23
ABSI,Absci,AI Drug Discovery,1.69,2026-09-21,生成式AI抗体设计+湿实验闭环,中: ABS-101(AI设计)2026-01未显差异化,ABS-201 (抗PRLR) 雄脂性脱发,Phase 1/2a (NCT07317544),无临床肿瘤资产(ABS-301临床前; AZ合作),无,ABS-201 中期毛发生长PoC(二元事件),2H26,Lilly($40M入股); AstraZeneca; Almirall,201.1,2026-06-30,~110,至2H28,中(2026-06 $100M增发@$7.41 + ATM),CEO 2026-02小额减持,SEC 10-Q/PR 2026-08-11; SEC 424B5 2026-06,2026-09-23
GENB,Generate Biomedicines,AI Drug Discovery,1.47,2026-09,生成式蛋白设计(Chroma),"中-高: AI优化长效抗体, 靶点已验证",GB-0895 (长效抗TSLP) 重度哮喘,Phase 3 SOLAIRIA-1/2 (NCT07276724/NCT07359846),GB-4362 抗游离MMAE P1(Fast Track); GB-5267 MUC16 CAR-T,GB-4362 Fast Track,GB-4362剂量爬坡; SOLAIRIA topline,2026-27; ~2028底,Amgen; Novartis($65M首付),457.4,2026-06-30,~275,至1H28(早于P3读出),"高(锁定期已过, 读出前需融资)",Flagship控股; 解禁后动向未核实,SEC 10-Q 2026-06-30; prnewswire IPO 2026-02-26,2026-09-23
CGEN,Compugen,AI Drug Discovery,0.234,2026-09-20,Unigen 计算靶点发现平台,高: TIGIT/PVRIG/IL-18BP靶点均出自计算发现,COM701 (抗PVRIG) 卵巢癌维持,Phase 2 MAIA-ovarian (NCT06888921),"rilvegostomig(AZ, ~12项P3, 收特许权); GS-0321(Gilead) P1",无,KOL日; MAIA中期PFS,2026-10-05; 2027Q1前,AstraZeneca(剩$195M里程碑); Gilead(最高$848M),125.3,2026-06-30,~43,至2029,低-中,Two Sigma Q1增持,Compugen Q2 PR 2026-08-03; clinicaltrials.gov,2026-09-23
IMRX,Immuneering,AI+Oncology,0.301,2026-09-21,计算生物学/生信平台; Deep Cyclic Inhibition,低: 分子非AI发现,atebimetinib (MEK)+mGnP 一线胰腺癌,Phase 3 MAPKeeper 301 (NCT07562152),atebimetinib PDAC; +Libtayo RAS突变NSCLC(2H26),"Fast Track(1L/2L PDAC, NRAS黑色素瘤); Orphan",Phase 3 topline OS,2028年中,Sanofi($25M入股); Regeneron(供药),182.7,2026-06-30,~75,至2029,中(2025-09 $225M@$9.23),CEO 2026-06小额买入,SEC 8-K Q2 2026-08-05; globenewswire ASCO 2026-06-01,2026-09-23
BDTX,Black Diamond,AI Drug Discovery,0.122,2026-09-08,MAP平台(突变家族结构计算),"中: 计算结构设计, 非生成式AI",silevertinib (BDTX-1535) 一线非经典EGFR NSCLC,Phase 2 (NCT05256290),silevertinib NSCLC; EGFRvIII+ GBM P2 (NCT07326566),无,FDA关键试验路径反馈+P2更新; 合作,2026Q4,"Servier(BDTX-4933, $70M首付)",110.5,2026-06-30,~34,至2H28(不含关键试验),高($150M ATM; 需合作方资助关键试验),BlackRock 6.7%; 无内部人买入,SEC 10-Q/PR 2026-08-05; ASCO 2026 Abstract 8519,2026-09-23
EVAX,Evaxion,AI+Oncology,0.028,2026-09-04,AI-Immunology 个体化/通用疫苗设计,高: 每支EVX-01由AI选抗原,EVX-01 个体化肽疫苗+Keytruda 黑色素瘤,"Phase 2 (NCT05309421, n=16单臂)",EVX-01; EVX-04 AML(2026底申报IND),无,EVX-01 3年数据(ESMO); EVX-04申报,2026-10-23~27; 2026底,MSD(EVX-B3); Gates基金会,14,2026-06-30,~14,至2H27,极高(ATM持续使用; 可转债授权),2026-02内部人认股权授予,Evaxion Q2 PR 2026-08-20; SEC 6-K,2026-09-23
LTRN,Lantern Pharma,AI+Oncology,0.022,2026-09,RADR ML平台(生物标志物/适应症选择),低: 主要为老分子再定位,LP-184 (zirdafulven),Phase 1b/2 (NCT05933265 P1a完成),LP-184 TNBC/NSCLC/膀胱; LP-300 NSCLC P2; LP-284 NHL P1,LP-184 Fast Track(TNBC/GBM); 多个Orphan,HARMONIC L858R数据; 融资,2H26,无大药企,7.4,2026-06-30,~14,~2个季度(持续经营警告),极高,未核实,SEC 10-Q/PR 2026-08-14,2026-09-23
